ID,Category,Name,Location,Lead_PI,Specialty,Key_Tech,Source_URL,Ingestion_Time
MA_20260131_DF0A3F8C,Trial,NIMIP: Non Invasive Measurement of the Intracranial Pressure,"Clermont-Ferrand, France",Patrick LACARIN,Chronic Hydrocephalus,BCI,https://clinicaltrials.gov/study/NCT01685450,2026-01-31T17:02:14.862290Z
MA_20260131_6B299C37,Trial,Spinal Cord Stimulation for Restoration of Arm and Hand Function in People With Subcortical Stroke,"Pittsburgh, United States",,Stroke; Brain Diseases; Central Nervous System Diseases,BCI,https://clinicaltrials.gov/study/NCT04512690,2026-01-31T17:02:14.862327Z
MA_20260131_6F6D5F75,Trial,PEARL (PrEnAtal Enzyme Replacement Therapy for Lysosomal Storage Disorders),"San Francisco, United States","Tippi MacKenzie, MD",MPS I; MPS II; MPS IVA,BCI,https://clinicaltrials.gov/study/NCT04532047,2026-01-31T17:02:14.862363Z
MA_20260131_8980FC0C,Trial,Spinal Cord Stimulation Assisted by Motor Rehabilitation Training for Restoring Motor Function After Spinal Cord Injury,"Milan, Italy",,Spinal Cord Injuries,BCI,https://clinicaltrials.gov/study/NCT05926843,2026-01-31T17:02:14.862399Z
MA_20260131_6E2E160B,Company,Neuralink,"Fremont, USA",,,BCI,https://neuralink.com/careers/,2026-01-31T17:02:14.862430Z
MA_20260131_4F2ACE46,Company,Synchron,"Brooklyn, USA",,,BCI,https://synchron.com/careers,2026-01-31T17:02:14.862458Z
MA_20260131_152C09C4,Company,Paradromics,"Austin, USA",,,BCI,https://www.paradromics.com/careers,2026-01-31T17:02:14.862487Z
MA_20260131_E773B416,Trial,Pre-Operative Window of ET to Inform RT Decisions (POWER II),"Charlottesville, United States",Meagan Miller,Breast Cancer Female,drug,https://clinicaltrials.gov/study/NCT06507618,2026-01-31T17:05:01.769048Z
MA_20260131_87CEE76E,Trial,Study of Vedolizumab (MLN0002) in Patients With Moderate to Severe Ulcerative Colitis,"Birmingham, United States",,Ulcerative Colitis,drug,https://clinicaltrials.gov/study/NCT00783718,2026-01-31T17:05:01.769080Z
MA_20260131_BA551B51,Trial,Multimodal Pain Study in Free Flap Patients,"Kansas City, United States",,Head and Neck Cancer; Analgesia,drug,https://clinicaltrials.gov/study/NCT04246697,2026-01-31T17:05:01.769114Z
MA_20260131_72DD647E,Trial,Factors Determining Time Allocation of a MCQ Examination,"Nakhon Ratchasima, Thailand",,Factors Determining Time Allocation of a Multiple-Choice Question Examination,drug,https://clinicaltrials.gov/study/NCT06210997,2026-01-31T17:05:01.769144Z
MA_20260131_C57A7CE3,Trial,Risk of Hepatocellular Carcinoma in Patients Treated With ETV vs TDF for Chronic Hepatitis B With Compensated Cirrhosis,"Shanghai, China",,"Hepatitis B, Chronic; Hepatocellular Carcinoma; Compensated Cirrhosis",drug,https://clinicaltrials.gov/study/NCT04160897,2026-01-31T17:05:01.769177Z
MA_20260131_C5EC4F9C,Trial,Etoposide Plus Lobaplatin Versus Etoposide Plus Cisplatin for Patients With Limited Small-cell Lung Cancer,"Guiyang, China","ShengFa Su, PhD,MD",Small-cell Lung Cancer,drug,https://clinicaltrials.gov/study/NCT03613597,2026-01-31T17:05:01.769209Z
MA_20260131_D798D706,Trial,Predictors of CIN Study Series 5.0:Stability Study in Vaginal Self-samples,,,Human Papillomavirus,drug,https://clinicaltrials.gov/study/NCT02622997,2026-01-31T17:05:01.769239Z
MA_20260131_43EECD95,Trial,An Assessment of pH Testing Methods,"Calgary, Canada",,Gastroesophageal Reflux,drug,https://clinicaltrials.gov/study/NCT01364610,2026-01-31T17:05:01.769279Z
MA_20260131_5CEB2896,Trial,Low-Intensity Chemotherapy and Venetoclax in Treating Patients With Relapsed or Refractory B- or T-Cell Acute Lymphoblastic Leukemia,"Houston, United States",,Recurrent B Acute Lymphoblastic Leukemia; Recurrent T Acute Lymphoblastic Leukemia; Refractory B Acute Lymphoblastic Leukemia,drug,https://clinicaltrials.gov/study/NCT03808610,2026-01-31T17:05:01.769310Z
MA_20260131_8DDF62C6,Trial,Estradiol Therapy In Transgender Women to Research Interactions With HIV Therapy,"San Diego, United States",,HIV I Infection,drug,https://clinicaltrials.gov/study/NCT06005610,2026-01-31T17:05:01.769340Z
MA_20260131_EDE9A351,Trial,Relative Bioavailability Study of Nirmatrelvir/Ritonavir 4 Different Fixed Dose Combination Tablets Relative to the Commercial Tablets in Healthy Participants,"New Haven, United States",,Biological Availability; Healthy Participants,drug,https://clinicaltrials.gov/study/NCT05525910,2026-01-31T17:05:01.769373Z
MA_20260131_0260C712,Trial,A Pharmacokinetic Study of Simufilam in Subjects With Impaired Hepatic Function,"Lake Forest, United States",,Hepatic Insufficiency,drug,https://clinicaltrials.gov/study/NCT06390410,2026-01-31T17:05:01.769406Z
MA_20260131_60AC9865,Trial,Observational Study of Elizaria® in aHUS Patients,"Kazan', Russia",,Atypical Hemolytic Uremic Syndrome; aHUS,drug,https://clinicaltrials.gov/study/NCT04749810,2026-01-31T17:05:01.769449Z
MA_20260131_BA9631EB,Trial,FUSE - Feasibility of Patient Held Sensors for Medical Emergencies,"Bangor, United Kingdom","Christian P Subbe, DM",Medical Emergencies,drug,https://clinicaltrials.gov/study/NCT06199310,2026-01-31T17:05:01.769482Z
MA_20260131_5117E010,Trial,"A Phase Ib/IIa, Double-Blind, Randomized Study to Assess the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of S-777469 in Subjects With Atopic Dermatitis","Miramar, United States",,Atopic Dermatitis,drug,https://clinicaltrials.gov/study/NCT00697710,2026-01-31T17:05:01.769507Z
MA_20260131_E014D4E4,Trial,CMC-544 and Allogeneic Transplantation for CD22 Positive-Lymphoid Malignancies,"Houston, United States",,Hematopoietic and Lymphoid Cell Neoplasm,drug,https://clinicaltrials.gov/study/NCT01664910,2026-01-31T17:05:01.769532Z
MA_20260131_BBE5A8E5,Trial,Effect of Intraoperative Intravenous Lidocaine on Postoperative Pain and Return of Bowel Function After Cesarean Sections,"Cairo, Egypt",,Postoperative Pain; Postoperative Return of Bowel Function,drug,https://clinicaltrials.gov/study/NCT06433713,2026-01-31T17:05:01.769555Z
MA_20260131_AE4F6037,Trial,Study of FLUTIFORM® VS Seretide® in Paediatric Subjects With Asthma,"Prague, Czechia",,Asthma,drug,https://clinicaltrials.gov/study/NCT00475813,2026-01-31T17:05:01.769591Z
MA_20260131_68415675,Trial,Disparities in Emergency Contraceptive Metabolism Dictate Efficacy,"Portland, United States",Women's Health Research Unit Department of OB/GYN,Contraceptive Usage,drug,https://clinicaltrials.gov/study/NCT05674513,2026-01-31T17:05:01.769621Z
MA_20260131_9A5C634A,Trial,Bioequivalecne Study of Minocycline 100mg Tablets Under Fed Conditions,"Chapell Hill, United States",,Healthy,drug,https://clinicaltrials.gov/study/NCT00777413,2026-01-31T17:05:01.769652Z
MA_20260131_F9C496B6,Trial,Evaluation of Physiological Variables and Detection of Blood Loss in Healthy Adults With Different Subject Positioning by the CM-1500,"Denver, United States",,Fluid Loss; Blood Loss,drug,https://clinicaltrials.gov/study/NCT05980013,2026-01-31T17:05:01.769682Z
MA_20260131_C0029B22,Trial,Efficacy and Safety Study of 610 in Patients With Severe Asthma,"Shanghai, China","Qinghong Zhou, MD",Asthma,drug,https://clinicaltrials.gov/study/NCT06323213,2026-01-31T17:05:01.769710Z
MA_20260131_5150F490,Trial,"Effects of Vildagliptin/Metformin Combination on Markers of Atherosclerosis, Thrombosis, and Inflammation in Diabetics With Coronary Artery Disease","Tel Litwinsky, Israel",,Type 2 Diabetes Mellitus; Ischemic Heart Disease,drug,https://clinicaltrials.gov/study/NCT01604213,2026-01-31T17:05:01.769756Z
MA_20260131_8B98D619,Trial,Comparison of Two Basal Insulins for Patients With Type 2 Diabetes (IOOY),"Hueytown, United States",,Diabetes Mellitus Type 2,drug,https://clinicaltrials.gov/study/NCT00494013,2026-01-31T17:05:01.769786Z
MA_20260131_A41EB54E,Trial,A Study of JNJ-66525433 in Healthy Participants and Participants With Ulcerative Colitis,"Berlin, Germany",,"Healthy; Colitis, Ulcerative",drug,https://clinicaltrials.gov/study/NCT04457960,2026-01-31T17:05:01.769815Z
MA_20260131_2EF90784,Center,Mayo Clinic,"Rochester, USA","Christine Duncan, MD; K. Scott Baker, MD; Amir Lerman, MD; Tanios Bekaii-Saab; Steven J Hattrup",Hypertension; Pancreatic Cancer; Neoplasms; Ulcerative Colitis; Acute Lymphoblastic Leukemia/Lymphoma,,https://www.mayoclinic.org,2026-01-31T17:05:03.885426Z
MA_20260131_853A9550,Center,Cleveland Clinic,"Cleveland, USA","Christine Duncan, MD; K. Scott Baker, MD; Chase Donaldson, MD; Andrea Kurz, MD; Fabio Rodriguez",Lung Cancer; Acute Lymphoblastic Leukemia/Lymphoma; Myelodysplasia; Acute Myelogenous Leukemia; Juvenile Myelomonocytic Leukemia,,https://my.clevelandclinic.org,2026-01-31T17:05:03.885471Z
MA_20260131_DCF1C10D,Center,Johns Hopkins Hospital,"Baltimore, USA","Novartis Pharmaceuticals; William Barsan, MD; Jordan E. Lake, MD, MSc; Kimberly K. Scarsi, PharmD, MS, FCCP; Jorge A. Gallardo-Cartagena, MD",HIV Infections; Depression; HIV I Infection; Myasthenia Gravis; Anatomic Stage III Breast Cancer AJCC v8,,https://www.hopkinsmedicine.org,2026-01-31T17:05:03.885495Z
MA_20260131_36FE8B46,Center,Massachusetts General Hospital,"Boston, USA","Jennifer E Ho, MD; Nancy M Petry, Ph.D.; John F Kelly, PhD; Novartis Pharmaceuticals; Michaela Higgins, MD",Melanoma; Ulcerative Colitis; Colorectal Cancer; Prostate Cancer; Triple Negative Breast Cancer,,https://www.massgeneral.org,2026-01-31T17:05:03.885518Z
MA_20260131_8CB73387,Center,Toronto General Hospital,"Toronto, Canada","Boehringer Ingelheim; Pablo Nery, MD; William Barsan, MD; Novartis Pharmaceuticals; Pfizer CT.gov Call Center",Ovarian Cancer; Melanoma; Colorectal Cancer; Neoplasms; Atrial Fibrillation,,https://www.uhn.ca,2026-01-31T17:05:03.885541Z
MA_20260131_9029D714,Center,Charité - Universitätsmedizin Berlin,"Berlin, Germany","Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST); Dieter Kunz, MD; Dominik Modest, Prof. Dr. med.; Fernando Dimeo, MD; Holger Schulz, Prof. Dr.",Ovarian Cancer; Heart Failure; Ileostomy; Colostomy; Migraine,,https://www.charite.de,2026-01-31T17:05:03.885564Z
MA_20260131_F07FD857,Center,The London Clinic,"London, UK","Sarmad Sadeghi; Severine Vermeire, MD, PhD; Bruce Sands, MD, PhD; Teresa Petrella; Kerry Savage",Metastatic Bladder Urothelial Carcinoma; Metastatic Urothelial Carcinoma; Refractory Bladder Urothelial Carcinoma; Refractory Urothelial Carcinoma; Stage IV Bladder Cancer AJCC v8,,https://www.thelondonclinic.co.uk,2026-01-31T17:05:03.885588Z
MA_20260131_F768CC92,Center,Singapore General Hospital,Singapore,"Medical Director; Boehringer Ingelheim; Clinical Trials; Mario Gaudino, Prof/PhD/MD; Ru Yu Tan",Heart Failure; Hypertension; Hypokalemia; Left Bundle-Branch Block; Heart Failure With Reduced Ejection Fraction (HFrEF),,https://www.sgh.com.sg,2026-01-31T17:05:03.885607Z
MA_20260131_1212B4C0,Center,Tokyo University Hospital,"Tokyo, Japan","Boehringer Ingelheim; Medical Director; Novartis Pharmaceuticals; Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 8 AM - 8 PM Eastern time (UTC/GMT - 5 hours, EST); Trial questions or participation questions: 1-877-CTLILLY (1-877-285-4559) or","Carcinoma, Non-Small-Cell Lung; Small Cell Lung Carcinoma; Ulcerative Colitis; Idiopathic Pulmonary Fibrosis; Diabetes Mellitus, Type 2",,https://www.h.u-tokyo.ac.jp,2026-01-31T17:05:03.885627Z
MA_20260131_05EF0E37,Center,AP-HP Pitié-Salpêtrière,"Paris, France","CIANGURA Cécile, MD; Daniel Roy, MD; Joe-Elie SALEM, MD PhD; Prof. Arnoud WJ Van 't Hof, MD PhD; Nicolas ROCHE, MD",Obesity; Cancer; Behçet's Syndrome (BS); Heart Failure; Myocarditis,,https://www.aphp.fr,2026-01-31T17:05:03.885652Z
MA_20260131_35BB7712,Trial,Study of 4-Demethylcholesteryloxycarbonylpenclomedine (DM-CHOC-PEN) in Patients With Advanced Cancer,"New Orleans, United States",,Advanced Cancer; Brain Involvement,BCI,https://clinicaltrials.gov/study/NCT01048008,2026-01-31T17:05:05.543239Z
MA_20260131_1F4190B3,Trial,Treadmill Training With Kinesiotaping Affects Balance and Gait in Chronic Stroke Patients,"Lahore, Pakistan","Wajiha Shahid, PhD",Stroke,BCI,https://clinicaltrials.gov/study/NCT05878613,2026-01-31T17:05:05.543258Z
MA_20260131_E4F4E884,Trial,Electrophysiological Activity of the Subthalamic Nucleus During the Processing of Emotional and Motivational Information,"Rennes, France","Paul Sauleau, MD, PhD",Parkinson,BCI,https://clinicaltrials.gov/study/NCT01537224,2026-01-31T17:05:05.543279Z
MA_20260131_CF98F05E,Trial,Revascularization Strategies in Patients With Non-ST-Segment Elevation Acute Coronary Syndrome (NSTE-ACS) and Severe Coronary Artery Disease,"Chrzanów, Poland","Natalia Pydyn, PhD",Multivessel Coronary Artery Disease; Acute Coronary Syndrome,BCI,https://clinicaltrials.gov/study/NCT01311323,2026-01-31T17:05:05.543299Z
MA_20260131_C889878E,Trial,Attention Control Training (ACT) and Very Preterm Infants,"Belfast, United Kingdom",,Very Premature Baby,BCI,https://clinicaltrials.gov/study/NCT03896490,2026-01-31T17:05:05.543318Z
MA_20260131_8CF47F60,Trial,Amygdala Memory Enhancement,"St Louis, United States",Joan Atencio,Brain Diseases; Epilepsy; Memory Disorders,BCI,https://clinicaltrials.gov/study/NCT05065450,2026-01-31T17:05:05.543338Z
MA_20260131_42A1F5D6,Trial,Deep Brain Stimulation Effects in Patients With Chronic Refractory Obesity,"Pittsburgh, United States",,Obesity,BCI,https://clinicaltrials.gov/study/NCT04453020,2026-01-31T17:05:05.543360Z
MA_20260131_B86A46A3,Trial,Closed-Loop Brain Stimulation as a Potential Intervention for Cognitive Decline,"Austin, United States","José del R. Millán, PhD",Mild Cognitive Impairment,BCI,https://clinicaltrials.gov/study/NCT05907343,2026-01-31T17:05:05.543382Z
MA_20260131_9BD269F5,Trial,Effects of Transcranial Direct Current Stimulation on Pain Perception,"Charleston, United States",,Pain,BCI,https://clinicaltrials.gov/study/NCT01860950,2026-01-31T17:05:05.543401Z
MA_20260131_B780EF58,Trial,The Value of IVL Compared To OPN Non-Compliant Balloons for Treatment of RefractorY Coronary Lesions (VICTORY) Trial,"Lucerne, Switzerland","Florim Cuculi, MD",Coronary Disease; Coronary Artery Disease; Calcific Coronary Arteriosclerosis,BCI,https://clinicaltrials.gov/study/NCT05346068,2026-01-31T17:05:05.543422Z
MA_20260131_C3D0693F,Trial,Computer-Based Auditory Rehabilitation,"Boston, United States",,Presbycusis,BCI,https://clinicaltrials.gov/study/NCT02147847,2026-01-31T17:05:05.543441Z
MA_20260131_16C647FE,Trial,NAUTILUS CE-mark Trial of the FLOWer Cerebral Embolic Protection Device,"Antwerp, Belgium",,Aortic Valve Stenosis; Intracranial Embolism and Thrombosis,BCI,https://clinicaltrials.gov/study/NCT04704258,2026-01-31T17:05:05.543460Z
MA_20260131_908137D6,Trial,Shunt-dependency After aSAH - Role of Early Hyperglycaemia in CSF and Blood,"Aarau, Switzerland","Isabel Hostettler, MD PhD","Aneurysm, Ruptured; Hyperglycemia; Hydrocephalus",BCI,https://clinicaltrials.gov/study/NCT06486909,2026-01-31T17:05:05.543493Z
MA_20260131_2D9F05BE,Trial,Phone Call Follow-up After Crisis Centre Presentation With Suicidal Ideation and Behaviours.,"Winnipeg, Canada",,"Suicide; Suicidal Ideation; Suicide, Attempted",BCI,https://clinicaltrials.gov/study/NCT03444935,2026-01-31T17:05:05.543512Z
MA_20260131_7DB497D2,Trial,Research on Sleep and Emotion Testing of Tea Theanine Casein Hydrolysate Pressed Candy,"Shanghai, China",,Mild to Moderate Sleep Disorder; Pressure,BCI,https://clinicaltrials.gov/study/NCT07207252,2026-01-31T17:05:05.543530Z
MA_20260131_87065C40,Trial,Enhancing Epilepsy Management With Precision Deep Brain Stimulation,"Halifax, Canada","Lutz Weise, MD, PhD","Epilepsy, Drug Resistant",BCI,https://clinicaltrials.gov/study/NCT06364085,2026-01-31T17:05:05.543548Z
MA_20260131_60FB0CC7,Trial,A Study of ARRY-371797 (PF-07265803) in Patients With Symptomatic Dilated Cardiomyopathy Due to a Lamin A/C Gene Mutation,"Birmingham, United States",,Dilated Cardiomyopathy; Lamin A/C Gene Mutation,BCI,https://clinicaltrials.gov/study/NCT03439514,2026-01-31T17:05:05.543579Z
MA_20260131_0A71C2C3,Trial,A Dose-Response Controlled Trial of Bevifibatide for Acute Ischemic Stroke,"Guangzhou, China","Chuanzhi Duan, MD","Ischemic Stroke, Acute; Ischemic Stroke; Cerebral Infarction",BCI,https://clinicaltrials.gov/study/NCT06712004,2026-01-31T17:05:05.543599Z
MA_20260131_B6B03C6D,Trial,A Pilot/Phase II Study of Gamma Knife Radiosurgery for Brain Metastases Using 3Tesla MRI and Rational Dose Selection,"New Haven, United States",,Melanoma; Renal Cell Carcinoma; Sarcoma,BCI,https://clinicaltrials.gov/study/NCT02005614,2026-01-31T17:05:05.543618Z
MA_20260131_91E3E0AA,Trial,Cereset Research for Caregivers,"Winston-Salem, United States",Kenzie Brown,Caregivers,BCI,https://clinicaltrials.gov/study/NCT05209438,2026-01-31T17:05:05.543636Z
MA_20260131_05C386EB,Trial,Carotid Angioplasty and Stenting Versus Endarterectomy in Asymptomatic Subjects Who Are at Standard Risk for Carotid Endarterectomy With Significant Extracranial Carotid Stenotic Disease (ACT I),"Phoenix, United States",,Carotid Artery Disease; Carotid Stenosis; Stroke,BCI,https://clinicaltrials.gov/study/NCT00106938,2026-01-31T17:05:05.543654Z
MA_20260131_658A469E,Trial,"Arrhythmia Burden, Risk of Sudden Cardiac Death and Stroke in Patients With Fabry Disease","Sydney, Australia",,Fabry Disease,BCI,https://clinicaltrials.gov/study/NCT03305250,2026-01-31T17:05:05.543681Z
MA_20260131_A111FCC5,Trial,Pipeline for Uncoilable or Failed Aneurysms,"Phoenix, United States",,Intracranial Aneurysm,BCI,https://clinicaltrials.gov/study/NCT00777088,2026-01-31T17:05:05.543700Z
MA_20260131_4295AAD9,Trial,Advancing Pre-operative Targeting for Deep Brain Stimulation in the Globus Pallidus Internus,"Scottsdale, United States",,Parkinson Disease,BCI,https://clinicaltrials.gov/study/NCT03600740,2026-01-31T17:05:05.543734Z
MA_20260131_7DCEAD54,Trial,A Comparison Of Outcomes In Patients In New York Heart Association (NYHA) Class II Heart Failure When Treated With Eplerenone Or Placebo In Addition To Standard Heart Failure Medicines,"Phoenix, United States",,Heart Failure,BCI,https://clinicaltrials.gov/study/NCT00232180,2026-01-31T17:05:05.543755Z
